Designator,Mid X,Mid Y,Rotation,Layer
CARRIER5-R28,151.130000,-163.820000,-90.000000,top
CARRIER5-R3,76.650000,-190.130000,-90.000000,top
CARRIER5-R30,147.165000,-177.050000,180.000000,top
CARRIER5-R31,147.940000,-181.170000,-90.000000,top
CARRIER5-R32,149.255000,-168.640000,-90.000000,top
CARRIER5-R4,70.890000,-181.210000,-90.000000,top
CARRIER5-R5,72.915000,-185.815000,-90.000000,top
CARRIER5-R6,73.515000,-181.710000,0.000000,top
CARRIER5-R7,73.515000,-183.290000,0.000000,top
CARRIER5-R8,69.190000,-181.210000,-90.000000,top
CARRIER5-R9,70.017500,-187.585000,0.000000,top
CARRIER5-U1,142.877500,-164.240000,180.000000,top
CARRIER5-U2,94.350000,-169.700000,90.000000,top
CARRIER5-U3,77.612500,-184.380000,-90.000000,top
CARRIER5-U4,82.850000,-172.130000,180.000000,top
CARRIER5-U5,75.740000,-165.382500,180.000000,top
CARRIER6-C1,74.555000,-216.610000,180.000000,top
CARRIER6-C10,78.760000,-210.130000,-90.000000,top
CARRIER6-C11,148.480000,-203.130000,180.000000,top
CARRIER6-C12,147.730000,-200.720000,-90.000000,top
CARRIER6-C13,149.430000,-200.720000,-90.000000,top
CARRIER6-C14,147.940000,-223.395000,-90.000000,top
CARRIER6-C15,80.265000,-202.215000,-90.000000,top
CARRIER6-C16,73.520000,-198.660000,0.000000,top
CARRIER6-C17,147.165000,-215.690000,180.000000,top
CARRIER6-C18,81.400000,-206.480000,0.000000,top
CARRIER6-C2,74.500000,-222.715000,90.000000,top
CARRIER6-C3,88.620000,-209.280000,180.000000,top
CARRIER6-C4,88.620000,-206.020000,180.000000,top
CARRIER6-C5,92.490000,-201.675000,180.000000,top
CARRIER6-C6,95.570000,-200.100000,0.000000,top
CARRIER6-C7,95.570000,-201.675000,0.000000,top
CARRIER6-C8,92.270000,-197.535000,-90.000000,top
CARRIER6-C9,82.471766,-204.823054,0.000000,top
CARRIER6-D1,70.690000,-210.490000,-90.000000,top
CARRIER6-D2,66.372500,-216.680000,0.000000,top
CARRIER6-L1,85.966766,-199.766882,180.000000,top
CARRIER6-L3,69.210000,-202.357500,0.000000,top
CARRIER6-LED1,151.390000,-204.760000,-90.000000,top
CARRIER6-Q1,85.780000,-218.285000,90.000000,top
CARRIER6-Q2,70.017500,-221.710000,90.000000,top
CARRIER6-Q3,70.017500,-227.030000,180.000000,top
CARRIER6-R1,76.030000,-210.077500,-90.000000,top
CARRIER6-R10,72.915000,-227.030000,90.000000,top
CARRIER6-R11,147.165000,-210.010000,180.000000,top
CARRIER6-R12,97.900000,-209.120000,90.000000,top
CARRIER6-R13,97.900000,-200.850000,-90.000000,top
CARRIER6-R14,97.900000,-204.080000,-90.000000,top
CARRIER6-R15,92.490000,-200.100000,0.000000,top
CARRIER6-R16,96.345000,-197.535000,90.000000,top
CARRIER6-R17,78.760000,-206.945000,90.000000,top
CARRIER6-R18,78.760000,-213.335000,90.000000,top
CARRIER6-R19,84.500000,-206.480000,0.000000,top
CARRIER6-R2,78.390000,-227.030000,-90.000000,top
CARRIER6-R24,147.165000,-211.980000,180.000000,top
CARRIER6-R25,147.165000,-208.040000,180.000000,top
CARRIER6-R26,67.120000,-198.950000,-90.000000,top
CARRIER6-R28,151.130000,-200.720000,-90.000000,top
CARRIER6-R3,76.650000,-227.030000,-90.000000,top
CARRIER6-R30,147.165000,-213.950000,180.000000,top
CARRIER6-R31,147.940000,-218.070000,-90.000000,top
CARRIER6-R32,149.255000,-205.540000,-90.000000,top
CARRIER6-R4,70.890000,-218.110000,-90.000000,top
CARRIER6-R5,72.915000,-222.715000,-90.000000,top
CARRIER6-R6,73.515000,-218.610000,0.000000,top
CARRIER6-R7,73.515000,-220.190000,0.000000,top
CARRIER6-R8,69.190000,-218.110000,-90.000000,top
CARRIER6-R9,70.017500,-224.485000,0.000000,top
CARRIER6-U1,142.877500,-201.140000,180.000000,top
CARRIER6-U2,94.350000,-206.600000,90.000000,top
CARRIER6-U3,77.612500,-221.280000,-90.000000,top
CARRIER6-U4,82.850000,-209.030000,180.000000,top
CARRIER6-U5,75.740000,-202.282500,180.000000,top
